ccle	efo
143B_BONE	EFO_0006355
22RV1_PROSTATE	EFO_0002095
2313287_STOMACH	EFO_0006528
5637_URINARY_TRACT	EFO_0002096
59M_OVARY	EFO_0006358
639V_URINARY_TRACT	EFO_0002097
647V_URINARY_TRACT	EFO_0002098
769P_KIDNEY	EFO_0002099
786O_KIDNEY	EFO_0005707
A101D_SKIN	EFO_0002100
A172_CENTRAL_NERVOUS_SYSTEM	EFO_0002101
A204_SOFT_TISSUE	EFO_0002102
A2058_SKIN	EFO_0006361
A2780_OVARY	EFO_0006362
A375_SKIN	EFO_0002103
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0006532
A427_LUNG	EFO_0002104
A431_SKIN	EFO_0006268
A498_KIDNEY	EFO_0002105
A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0006533
A549_LUNG	EFO_0001086
A673_BONE	EFO_0002106
ABC1_LUNG	EFO_0002813
ACHN_KIDNEY	EFO_0002108
AGS_STOMACH	EFO_0002109
AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0006534
AN3CA_ENDOMETRIUM	EFO_0002110
ARH77_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002111
ASPC1_PANCREAS	EFO_0002112
AU565_BREAST	EFO_0001087
AZ521_SMALL_INTESTINE	EFO_0002814
BC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002044
BC3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002046
BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002113
BEN_LUNG	EFO_0006537
BFTC905_URINARY_TRACT	EFO_0002115
BFTC909_KIDNEY	EFO_0006538
BHT101_THYROID	EFO_0002116
BHY_UPPER_AERODIGESTIVE_TRACT	EFO_0006539
BICR10_UPPER_AERODIGESTIVE_TRACT	EFO_0006540
BICR22_UPPER_AERODIGESTIVE_TRACT	EFO_0006541
BICR31_UPPER_AERODIGESTIVE_TRACT	EFO_0006542
BICR78_UPPER_AERODIGESTIVE_TRACT	EFO_0006543
BT20_BREAST	EFO_0001092
BT474_BREAST	EFO_0001093
BT483_BREAST	EFO_0001095
BT549_BREAST	EFO_0001096
BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002118
BXPC3_PANCREAS	EFO_0002709
C2BBE1_LARGE_INTESTINE	EFO_0006546
C32_SKIN	EFO_0006364
C33A_CERVIX	EFO_0002120
C3A_LIVER	EFO_0002121
C4I_CERVIX	EFO_0002122
CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EFO_0002124
CACO2_LARGE_INTESTINE	EFO_0001099
CADOES1_BONE	EFO_0002818
CAKI1_KIDNEY	EFO_0002149
CAKI2_KIDNEY	EFO_0002150
CAL120_BREAST	EFO_0005356
CAL12T_LUNG	EFO_0006547
CAL148_BREAST	EFO_0005357
CAL27_UPPER_AERODIGESTIVE_TRACT	EFO_0006366
CAL51_BREAST	EFO_0005358
CAL54_KIDNEY	EFO_0002125
CAL62_THYROID	EFO_0002126
CAL851_BREAST	EFO_0005359
CALU1_LUNG	EFO_0002151
CALU3_LUNG	EFO_0002819
CALU6_LUNG	EFO_0002152
CAMA1_BREAST	EFO_0001100
CAOV3_OVARY	EFO_0002148
CAPAN1_PANCREAS	EFO_0002153
CAPAN2_PANCREAS	EFO_0002154
CAR1_LARGE_INTESTINE	EFO_0006548
CASKI_CERVIX	EFO_0006549
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM	EFO_0002127
